      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621307821.00 2158.00000 184639.00   22 19 03.31665  114 10 04.78609        4.142   0.118   4.123  -0.085   0.164   1.115   0.175   0.1325824338   0.8506589793 -12.8591443089 5
1621307822.00 2158.00000 184640.00   22 19 03.45583  114 10 04.75635        4.149   0.143   4.559  -0.052   0.388  -0.481  -0.678   0.2666488283   0.6971865043 -13.0895134496 5
1621307823.00 2158.00000 184641.00   22 19 03.60639  114 10 04.72317        4.155   0.129   4.889  -0.031  -0.013   0.099  -0.623   0.1635966392   0.5374573301 -13.0705714649 4
1621307824.00 2158.00000 184642.00   22 19 03.76311  114 10 04.68910        4.161   0.116   4.891  -0.037  -0.918  -0.598  -0.399   0.1544751511   0.6699538203 -12.9314343939 4
1621307825.00 2158.00000 184643.00   22 19 03.91657  114 10 04.65583        4.172   0.123   4.805  -0.021   0.423  -0.438   0.114  -0.2094504516   0.5457995956 -12.8326106334 5
1621307826.00 2158.00000 184644.00   22 19 04.06705  114 10 04.62333        4.186   0.145   4.604  -0.018   0.451  -0.579   0.054  -0.6673411327   0.5439604011 -12.7345374476 4
1621307827.00 2158.00000 184645.00   22 19 04.21142  114 10 04.59327        4.191   0.127   4.406  -0.030   0.736  -0.529   0.275  -0.2925064136   0.4346285947 -12.5171056940 5
1621307828.00 2158.00000 184646.00   22 19 04.34238  114 10 04.56756        4.195   0.127   3.658  -0.035  -0.202  -1.202  -0.135  -0.0672709747   0.4919415629 -11.9430764677 2
1621307829.00 2158.00000 184647.00   22 19 04.45007  114 10 04.54621        4.195   0.077   3.115  -0.105   0.248   1.809   2.118  -0.2177526100   1.1535817656 -12.1267151707 2
1621307830.00 2158.00000 184648.00   22 19 04.55687  114 10 04.52533        4.236   0.089   3.685  -0.007  -0.533  -0.720  -0.716   0.1032469947   1.1476573820 -12.3395346141 2
1621307831.00 2158.00000 184649.00   22 19 04.68488  114 10 04.49846        4.277   0.105   4.275  -0.069   1.673   0.054  -2.547  -0.4620618139   0.9837226976 -12.2897617704 2
1621307832.00 2158.00000 184650.00   22 19 04.83321  114 10 04.46900        4.317   0.126   4.988  -0.073   0.517   1.352  -0.213   0.1538850046   1.1330698765 -12.2218147055 2
1621307833.00 2158.00000 184651.00   22 19 05.00008  114 10 04.43524        4.336   0.200   5.251  -0.082  -0.767   0.185  -0.146   0.8664783440   0.7451717196 -12.5586394045 2
1621307834.00 2158.00000 184652.00   22 19 05.17104  114 10 04.39884        4.346   0.218   5.382  -0.011   1.230  -0.459   1.075   0.2088545755  -0.0938905939 -12.3269238130 2
1621307835.00 2158.00000 184653.00   22 19 05.33997  114 10 04.36502        4.349   0.164   5.191  -0.026   0.034   0.492   1.077   0.8578324109   0.5185153454 -12.3668532418 2
1621307836.00 2158.00000 184654.00   22 19 05.50220  114 10 04.33107        4.381   0.210   4.943  -0.064  -0.763   0.084  -2.757   1.1198689289   0.2715476174 -12.6395009381 2
1621307837.00 2158.00000 184655.00   22 19 05.65698  114 10 04.29825        4.387   0.197   4.679  -0.003   0.451  -0.777  -0.690   1.3932614704   0.6154884523 -12.7343712899 4
1621307838.00 2158.00000 184656.00   22 19 05.80150  114 10 04.26806        4.409   0.107   4.378  -0.023   0.040   0.724   0.379   1.5683172656   0.7088576546 -12.4596437567 2
1621307839.00 2158.00000 184657.00   22 19 05.93380  114 10 04.24014        4.424   0.157   3.874   0.018   1.108   0.913  -0.509   1.0025500908   0.2642022985 -12.5108948315 2
1621307840.00 2158.00000 184658.00   22 19 06.04840  114 10 04.21595        4.448   0.082   3.361   0.012  -0.322  -0.444   0.263   0.8059911896   0.4973502845 -12.5194548209 2
1621307841.00 2158.00000 184659.00   22 19 06.15029  114 10 04.19341        4.526   0.124   3.042  -0.005   0.181  -0.557   0.694   0.8540566190   0.5695429667 -13.4060955497 2
1621307842.00 2158.00000 184660.00   22 19 06.24574  114 10 04.17127        4.562   0.121   3.266   0.014   0.263   1.489   0.353   0.3560474331   1.0409726405 -13.2198327001 2
1621307843.00 2158.00000 184661.00   22 19 06.36122  114 10 04.14773        4.598   0.125   3.765  -0.030   0.767   1.027   0.626   0.6820546889   0.6182615680 -11.8917050718 2
1621307844.00 2158.00000 184662.00   22 19 06.48613  114 10 04.12379        4.624   0.118   4.030  -0.019  -0.519   0.812   0.280   1.1130278128   0.3682457045 -11.8421270338 2
1621307845.00 2158.00000 184663.00   22 19 06.62525  114 10 04.09690        4.640   0.167   4.722   0.022  -0.950   0.536   0.334   1.4369666910   0.8119556802 -11.7631046947 2
1621307846.00 2158.00000 184664.00   22 19 06.78982  114 10 04.06492        4.661   0.099   5.543  -0.019  -0.070   1.848  -0.622   0.7859777738   0.0865567341 -11.3118889719 2
1621307847.00 2158.00000 184665.00   22 19 06.98159  114 10 04.03127        4.663   0.166   6.317  -0.061   0.638   1.612  -0.261   1.0044694994   0.8752789757 -10.4809340112 2
1621307848.00 2158.00000 184666.00   22 19 07.19703  114 10 03.99498        4.708   0.154   7.072  -0.029   0.340   0.891   0.088   1.1179838977   0.8229736586 -10.6325042663 2
1621307849.00 2158.00000 184667.00   22 19 07.42342  114 10 03.95023        4.748   0.180   7.007  -0.028  -0.346   0.838  -0.257   1.2507095710   0.2632683773 -13.0955925318 2
1621307850.00 2158.00000 184668.00   22 19 07.64634  114 10 03.89482        4.749   0.199   7.204  -0.058  -0.576   1.342  -0.324   1.1141679988   0.5996977354 -15.1024287755 2
1621307851.00 2158.00000 184669.00   22 19 07.88070  114 10 03.83221        4.761   0.243   7.575  -0.167   0.854   2.977  -0.661   0.9002026398   1.2514544161 -15.3561115688 2
1621307852.00 2158.00000 184670.00   22 19 08.12722  114 10 03.76532        4.837   0.218   7.960  -0.051  -1.116   2.289   6.165   0.5936243828   0.8803725705 -15.5903195267 2
1621307853.00 2158.00000 184671.00   22 19 08.38130  114 10 03.69440        4.862   0.190   8.109  -0.030  -1.664   1.466  -2.961  -0.2803425196   0.6897323234 -15.7905052508 3
1621307854.00 2158.00000 184672.00   22 19 08.63801  114 10 03.62305        4.854   0.159   7.992  -0.029  -2.149  -5.362  -1.209   0.0560123541   0.0622232166 -15.8315061106 3
1621307855.00 2158.00000 184673.00   22 19 08.89003  114 10 03.55024        4.766   0.292   8.028   0.001   6.540  -0.484  -4.141  -0.9306037804   0.8626567155 -16.4053405312 3
1621307856.00 2158.00000 184674.00   22 19 09.13685  114 10 03.47857        4.787   0.248   7.702  -0.005  -0.677  -0.650  -1.425  -0.2459478631   0.6103031842 -16.6834198674 3
1621307857.00 2158.00000 184675.00   22 19 09.37379  114 10 03.40851        4.791   0.309   7.279   0.041  -0.615  -2.548   0.034  -0.1436920854   0.2557798189 -16.7049287031 3
1621307858.00 2158.00000 184676.00   22 19 09.59242  114 10 03.34438        4.769   0.195   6.618   0.027  -0.603  -0.006  -0.118  -1.1926173801   0.3737002627 -16.2035390661 3
1621307859.00 2158.00000 184677.00   22 19 09.79561  114 10 03.28891        4.759   0.222   6.239   0.036  -0.269  -1.278   0.740  -1.1515764133   0.4491530748 -15.2862966615 3
1621307860.00 2158.00000 184678.00   22 19 09.99106  114 10 03.24075        4.759   0.188   6.033   0.056   0.712  -1.049  -0.587  -1.4493425794   0.3453732293 -13.5827785450 3
1621307861.00 2158.00000 184679.00   22 19 10.17921  114 10 03.20033        4.752   0.152   5.736   0.058   1.866   0.528   0.633  -1.9334689980   0.2856366496 -12.2097997805 3
1621307862.00 2158.00000 184680.00   22 19 10.35696  114 10 03.16542        4.769   0.214   5.322   0.033   1.310  -0.733  -1.145  -1.7252332169   0.6352841441 -11.7421458986 3
1621307863.00 2158.00000 184681.00   22 19 10.51904  114 10 03.13570        4.788   0.225   4.724   0.059   0.132  -0.298  -0.087  -1.4611455100   0.3673347016 -10.9897663699 3
1621307864.00 2158.00000 184682.00   22 19 10.66236  114 10 03.11105        4.815   0.226   4.197   0.063   0.207  -1.020  -0.691  -1.2305987524   0.4879480471 -10.4862109525 4
1621307865.00 2158.00000 184683.00   22 19 10.78643  114 10 03.09023        4.854   0.126   3.465   0.054   0.370  -1.196  -0.504  -1.1773022183   0.5004958228 -10.3989895873 4
1621307866.00 2158.00000 184684.00   22 19 10.88504  114 10 03.07380        4.895   0.121   2.631   0.094   0.720  -0.788  -0.102  -1.1667196878   0.6752250320 -10.3925953783 4
1621307867.00 2158.00000 184685.00   22 19 10.95786  114 10 03.06181        4.938   0.094   1.932   0.093  -0.052  -0.389  -0.464  -1.0784784578   0.5879291823 -10.3582981247 4
1621307868.00 2158.00000 184686.00   22 19 11.01425  114 10 03.05278        4.972   0.090   1.605   0.120   0.090  -0.083   0.190  -0.8762644631   0.3328082649 -10.3454237631 4
1621307869.00 2158.00000 184687.00   22 19 11.06074  114 10 03.04530        5.007   0.105   1.225   0.107   0.131  -0.462  -0.099  -0.8973550396   0.2671931382 -10.3195489890 3
1621307870.00 2158.00000 184688.00   22 19 11.09615  114 10 03.03978        5.031   0.099   1.008   0.114   0.172  -0.307   0.057  -0.9205770190   0.5736338853 -10.2948487785 3
1621307871.00 2158.00000 184689.00   22 19 11.12683  114 10 03.03518        5.063   0.102   0.872   0.116   0.571   0.056  -0.018  -0.9152657003   0.6147149592 -10.2506336254 2
1621307872.00 2158.00000 184690.00   22 19 11.15397  114 10 03.03123        5.088   0.093   0.783   0.119  -0.163   0.020  -0.102  -0.9469731846   0.6093692630 -10.0914430316 2
1621307873.00 2158.00000 184691.00   22 19 11.17899  114 10 03.02798        5.054   0.087   0.821   0.109   0.341   0.376  -0.156  -0.9292573296   0.7315639720 -10.0394471117 3
1621307874.00 2158.00000 184692.00   22 19 11.21002  114 10 03.02343        5.046   0.090   0.971   0.115   0.321  -0.296  -0.054  -0.9974106593   0.6822953312 -10.0360265537 3
1621307875.00 2158.00000 184693.00   22 19 11.24442  114 10 03.01830        5.067   0.097   1.132   0.116  -0.342   0.014   0.447  -0.8824524073   0.6815848635  -9.9997583253 3
1621307876.00 2158.00000 184694.00   22 19 11.27356  114 10 03.01376        5.121   0.067   0.646   0.109   0.140  -0.414  -0.172  -0.8739325249   0.5263820560  -9.9271473839 3
1621307877.00 2158.00000 184695.00   22 19 11.29216  114 10 03.01077        5.197   0.068   0.562   0.116   0.167  -0.037   0.084  -0.8967935409   0.5773008152  -9.9575026879 2
1621307878.00 2158.00000 184696.00   22 19 11.31246  114 10 03.00778        5.214   0.075   0.740   0.116  -0.319   0.174   0.080  -0.8565489854   0.5482633142 -10.0438015910 2
1621307879.00 2158.00000 184697.00   22 19 11.33723  114 10 03.00399        5.229   0.065   0.883   0.110  -0.132   0.325  -0.134  -0.8558385177   0.5247032896 -10.0469643180 2
1621307880.00 2158.00000 184698.00   22 19 11.36888  114 10 02.99920        5.248   0.074   1.079   0.107  -0.208   0.127   0.108  -0.7392358769   0.5456105196  -9.9464789799 2
1621307881.00 2158.00000 184699.00   22 19 11.40660  114 10 02.99323        5.288   0.051   1.249   0.096  -0.013  -0.206   0.012  -0.7329046932   0.6181297877  -9.8548343806 2
1621307882.00 2158.00000 184700.00   22 19 11.44861  114 10 02.98658        5.308   0.076   1.330   0.113  -0.204   0.118   0.051  -0.6713346486   0.6218081767 -10.0785400221 2
1621307883.00 2158.00000 184701.00   22 19 11.49199  114 10 02.97926        5.344   0.073   1.367   0.110   0.202   0.193  -0.055  -0.5869723428   0.6598468448 -10.5280827082 2
1621307884.00 2158.00000 184702.00   22 19 11.53518  114 10 02.97174        5.404   0.095   1.332   0.096   0.001   0.016  -0.017  -0.3481749929   0.8510142131 -10.8750544897 2
1621307885.00 2158.00000 184703.00   22 19 11.57619  114 10 02.96449        5.439   0.057   1.287   0.108   0.359  -0.136  -0.261  -0.5080244882   0.8089648405 -10.6307510155 2
1621307886.00 2158.00000 184704.00   22 19 11.61965  114 10 02.95738        5.419   0.103   1.359   0.094  -0.314   0.809   0.185  -0.5544340696   0.4361984990 -10.3938272376 4
1621307887.00 2158.00000 184705.00   22 19 11.66498  114 10 02.95007        5.488   0.058   1.438   0.107  -0.251   0.466  -0.239  -0.4978372986   0.3698614455 -10.0311793307 2
1621307888.00 2158.00000 184706.00   22 19 11.71288  114 10 02.94194        5.515   0.090   1.534   0.108  -0.108  -0.319  -0.077  -0.8237586108   0.6215045091 -10.0715098299 2
1621307889.00 2158.00000 184707.00   22 19 11.76337  114 10 02.93385        5.547   0.077   1.598   0.101  -0.038   0.316   0.172  -0.6271596026   0.4533757737 -10.1633377758 2
1621307890.00 2158.00000 184708.00   22 19 11.81642  114 10 02.92467        5.580   0.077   1.675   0.134   0.508  -0.152   0.923  -0.8220970332   0.4451137223 -10.3871236314 2
1621307891.00 2158.00000 184709.00   22 19 11.87086  114 10 02.91496        5.605   0.023   1.737   0.089   0.958   0.815  -0.067  -0.8819023678   0.6396271642 -10.7464197351 2
1621307892.00 2158.00000 184710.00   22 19 11.92991  114 10 02.90460        5.639   0.080   1.965   0.114   0.252   0.366  -0.179  -0.7431663673   0.3387498372 -10.7703292639 2
1621307893.00 2158.00000 184711.00   22 19 11.99451  114 10 02.89338        5.676   0.040   2.023   0.107   0.375  -0.132   0.104  -0.4853124412   0.2936809771 -10.6839272284 2
1621307894.00 2158.00000 184712.00   22 19 12.05927  114 10 02.88203        5.642   0.067   1.981   0.110  -0.044  -0.424   0.298  -0.6264434053   0.1173302973 -10.5452714420 3
1621307895.00 2158.00000 184713.00   22 19 12.11461  114 10 02.87277        5.710   0.066   1.468   0.118  -0.363  -0.552  -0.145  -0.3553713429   0.0315757041 -10.4215125583 2
1621307896.00 2158.00000 184714.00   22 19 12.15407  114 10 02.86603        5.734   0.055   0.935   0.110  -0.623  -0.667   0.162  -0.3158830916   0.3204954019 -10.3130631068 2
1621307897.00 2158.00000 184715.00   22 19 12.17570  114 10 02.86245        5.761   0.042   0.397   0.116   0.333  -0.744  -0.028  -0.1761730628   0.3668190396 -10.2560767245 2
1621307898.00 2158.00000 184716.00   22 19 12.18143  114 10 02.86129        5.785   0.033  -0.003   0.116  -0.344  -0.176   0.018  -0.2440914799   0.4711718428 -10.2324708633 2
1621307899.00 2158.00000 184717.00   22 19 12.18189  114 10 02.86110        5.810   0.027   0.006   0.112   0.492  -0.044   0.005  -0.2391353950   0.4837196185 -10.2328948521 2
1621307900.00 2158.00000 184718.00   22 19 12.18247  114 10 02.86089        5.831   0.033   0.008   0.106   0.381   0.090  -0.021  -0.2376800822   0.4866073258 -10.2336167789 2
1621307901.00 2158.00000 184719.00   22 19 12.18458  114 10 02.86045        5.847   0.035   0.223   0.100   0.416   0.311   0.024  -0.2414501444   0.5656182058 -10.2320583337 2
1621307902.00 2158.00000 184720.00   22 19 12.19922  114 10 02.85800        5.864   0.051   0.656   0.097  -0.116   0.465  -0.031  -0.2320880141   0.5676350172 -10.1776903685 2
1621307903.00 2158.00000 184721.00   22 19 12.22916  114 10 02.85337        5.878   0.070   1.260   0.088   0.261   0.589  -0.033  -0.0504546634   0.5768997448  -9.8783313797 2
1621307904.00 2158.00000 184722.00   22 19 12.27626  114 10 02.84634        5.891   0.079   1.320   0.083   0.402  -0.951  -0.008  -0.0254908923   0.3437402996  -9.2906714876 2
1621307905.00 2158.00000 184723.00   22 19 12.30610  114 10 02.84210        5.900   0.047   0.533   0.086   0.138  -0.587  -0.119  -0.0550211371   0.3861735539  -8.9407203255 2
1621307906.00 2158.00000 184724.00   22 19 12.31745  114 10 02.84062        5.909   0.032   0.148   0.082   0.070  -0.427   0.003   0.0564993682   0.4393726852  -8.8183193517 2
1621307907.00 2158.00000 184725.00   22 19 12.31902  114 10 02.84034        5.917   0.024   0.016   0.080   0.264  -0.202  -0.032   0.0625727208   0.4748788798  -8.8078514128 2
1621307908.00 2158.00000 184726.00   22 19 12.32160  114 10 02.83987        5.924   0.031   0.219   0.078  -0.222   0.413  -0.020   0.0528840045   0.5264679996  -8.7759204749 2
1621307909.00 2158.00000 184727.00   22 19 12.33574  114 10 02.83785        5.929   0.045   0.629   0.066  -0.309   0.446   0.087   0.0123071334   0.5700528991  -8.5942298285 2
1621307910.00 2158.00000 184728.00   22 19 12.36286  114 10 02.83471        5.932   0.072   0.995   0.063   0.029   0.287  -0.119   0.0071734316   0.4845962440  -7.4565476417 2
1621307911.00 2158.00000 184729.00   22 19 12.39833  114 10 02.83159        5.936   0.063   1.030   0.063  -0.553  -0.196   0.010   0.0185237255   0.4672585411  -5.9323653151 2
1621307912.00 2158.00000 184730.00   22 19 12.42937  114 10 02.82939        5.938   0.061   0.923   0.048  -0.074   0.578   0.169   0.1365759496   0.5714795640  -5.1516816713 2
1621307913.00 2158.00000 184731.00   22 19 12.46577  114 10 02.82645        5.937   0.013   1.258   0.042   0.047   0.072  -0.015   0.1023818284   0.6684641300  -5.3777822765 2
1621307914.00 2158.00000 184732.00   22 19 12.50687  114 10 02.82228        5.940   0.023   1.082   0.055   0.593  -0.598  -0.142   0.0814688689   0.5568691402  -6.5658962083 2
1621307915.00 2158.00000 184733.00   22 19 12.53506  114 10 02.81860        5.941   0.033   0.785   0.056   0.463  -0.184   0.036   0.1006113888   0.6241171967  -7.6883434473 2
1621307916.00 2158.00000 184734.00   22 19 12.55842  114 10 02.81535        5.941   0.016   0.788   0.047   0.349   0.217   0.068   0.0570379485   0.6215216978  -8.0794043312 2
1621307917.00 2158.00000 184735.00   22 19 12.57616  114 10 02.81281        5.941   0.007   0.108   0.046   0.008  -0.914  -0.054   0.0844024128   0.5204290245  -8.2457110608 2
1621307918.00 2158.00000 184736.00   22 19 12.57680  114 10 02.81256        5.939   0.006  -0.001   0.046  -0.494   0.026  -0.028   0.1114689390   0.5965579267  -8.2498821936 2
1621307919.00 2158.00000 184737.00   22 19 12.57734  114 10 02.81227        5.935   0.007  -0.000   0.041   0.214   0.039   0.012   0.1094005614   0.5948447829  -8.2508848697 2
1621307920.00 2158.00000 184738.00   22 19 12.57827  114 10 02.81196        5.928   0.005   0.097   0.034  -0.042   0.494   0.007   0.1181324382   0.6638289014  -8.2569295745 2
1621307921.00 2158.00000 184739.00   22 19 12.58855  114 10 02.81045        5.924   0.012   0.511   0.028  -0.291   0.362  -0.073   0.1366103271   0.6434602518  -8.3818687513 2
